Designation,d[mm],D[mm],B[mm],C[kN],Co[kN],Pu[kN],G-Speed[r/min],O-Speed[r/min]
71956 ACD/HCP4A,280.0,380.0,46.0,276.0,430.0,7.35,3200.0,4800.0
71956 ACD/P4A,280.0,380.0,46.0,276.0,430.0,10.0,2600.0,4000.0
71956 CD/HCP4A,280.0,380.0,46.0,291.0,455.0,7.8,4000.0,5600.0
71956 CD/P4A,280.0,380.0,46.0,291.0,455.0,10.6,3200.0,4800.0
71960 ACDMA/HCP4A,300.0,420.0,56.0,351.0,560.0,9.15,2600.0,4000.0
71960 ACDMA/P4A,300.0,420.0,56.0,351.0,560.0,12.7,2200.0,3400.0
71960 CDMA/HCP4A,300.0,420.0,56.0,371.0,600.0,9.65,3800.0,5300.0
71960 CDMA/P4A,300.0,420.0,56.0,371.0,600.0,13.4,3000.0,4500.0
71964 ACDMA/HCP4A,320.0,440.0,56.0,351.0,585.0,9.3,2600.0,4000.0
71964 ACDMA/P4A,320.0,440.0,56.0,351.0,585.0,12.9,2200.0,3400.0
71964 CDMA/HCP4A,320.0,440.0,56.0,377.0,620.0,9.8,3600.0,5000.0
71964 CDMA/P4A,320.0,440.0,56.0,377.0,620.0,13.7,2600.0,4300.0
71968 ACDMA/HCP4A,340.0,460.0,56.0,364.0,640.0,9.8,2400.0,3800.0
71968 ACDMA/P4A,340.0,460.0,56.0,364.0,640.0,13.4,2000.0,3200.0
71968 CDMA/HCP4A,340.0,460.0,56.0,390.0,670.0,10.4,3400.0,4800.0
71968 CDMA/P4A,340.0,460.0,56.0,390.0,670.0,14.3,2400.0,4000.0
71972 ACDMA/HCP4A,360.0,480.0,56.0,371.0,670.0,10.0,2200.0,3600.0
71972 ACDMA/P4A,360.0,480.0,56.0,371.0,670.0,13.7,1900.0,3000.0
71972 CDMA/HCP4A,360.0,480.0,56.0,397.0,710.0,10.6,3400.0,4800.0
71972 CDMA/P4A,360.0,480.0,56.0,397.0,710.0,14.6,2400.0,4000.0
